"Voice","d_pitch","d_pitchdev","d_durationMsec","d_shimmerLocal","d_intensitydev"
1,0.0977500000000049,-5.073375,-175.7568026625,-0.010363548525,-1.1775
3,5.012125,-15.09025,-248.24206355,-0.0101406536125,-0.1585
4,-2.74224999999998,-15.995,-114.6122449375,-0.00985500385,-1.479
6,-9.450125,-4.185,177.326530525,-0.000928680287500011,-0.0317499999999988
7,-11.204,-16.784875,72.1337868625001,-0.00744534355,0.441374999999999
8,4.735625,-25.389,88.1496598750002,-0.0184302001125,0.26675
9,3.981875,-14.17975,16.6615646499999,-0.02401677805,-0.0825000000000005
10,-10.378125,-8.62025,180.3100907375,-0.000302554437500005,-0.157249999999999
11,-0.173749999999984,-4.11625,-148.3985260625,-0.011680389525,-0.221499999999999
12,-5.73700000000001,-5.358,114.928571425,-0.004455613875,-0.51125
