wavname,Accuracy,voice,type,sentence,durationMsec,shimmerLocal%,pitch,pitchdev,intensitydev
voice_01_clone_001,75,1,clone,1,2867.437642,0.071896026,104.87,12.14,5.47
voice_01_clone_002,100,1,clone,2,2383.99093,0.08081384,110.74,21.38,7.32
voice_01_clone_003,80,1,clone,3,2143.99093,0.09346395,115.58,16.22,12.21
voice_01_clone_004,90,1,clone,4,2896.00907,0.08994811,106.25,14.55,7.99
voice_01_clone_005,92,1,clone,5,2333.015873,0.069061307,112.25,16.63,8.73
voice_01_clone_006,70,1,clone,6,2272.018141,0.073856708,109.82,17.78,7.91
voice_01_clone_007,80,1,clone,7,2543.99093,0.07094216,107.52,15.85,9.55
voice_01_clone_008,75,1,clone,8,2463.99093,0.083827669,106.33,14.8,6.38
voice_01_clone_009,87,1,clone,9,2463.99093,0.091153796,107.94,16,8.29
voice_01_clone_010,45,1,clone,10,2656.00907,0.085168119,107.08,14.63,9.67
voice_01_clone_011,80,1,clone,11,2287.981859,0.065131766,112.13,15.58,7.75
voice_01_clone_012,60,1,clone,12,3007.981859,0.063337408,101.44,10.97,6.47
voice_01_clone_013,75,1,clone,13,3040,0.059589016,102.74,11.4,8.96
voice_01_clone_014,95,1,clone,14,2725.759637,0.068800948,100.84,11.16,10.2
voice_01_clone_015,64,1,clone,15,2800,0.072378342,105.52,12.69,12.63
voice_01_clone_016,90,1,clone,16,2976.00907,0.109559959,101.81,16.09,9.94
voice_01_clone_017,45,1,clone,17,2047.981859,0.081271141,110.8,11.77,9.11
voice_01_clone_018,70,1,clone,18,2512.018141,0.096895308,107.99,15.97,9.37
voice_01_clone_019,73,1,clone,19,2512.018141,0.082647255,101.93,13.69,9.37
voice_01_clone_020,70,1,clone,20,2480,0.075941267,101.02,12.59,6.83
voice_01_clone_021,35,1,clone,21,2409.931973,0.077565843,105.86,13.59,7.14
voice_01_clone_022,50,1,clone,22,2730.521542,0.079588899,102.52,11.62,5.35
voice_01_clone_023,100,1,clone,23,2448.798186,0.075625992,103.42,15.06,8.91
voice_01_clone_024,75,1,clone,24,2195.69161,0.080883913,103.11,11.83,9.63
voice_01_clone_025,72,1,clone,25,2623.99093,0.072108635,96.59,11.09,6.53
voice_01_clone_026,70,1,clone,26,2736.00907,0.078681592,95.89,11.29,7.15
voice_01_clone_027,90,1,clone,27,2912.018141,0.081230782,98.29,13.8,7.69
voice_01_clone_028,75,1,clone,28,2176.00907,0.0666372,102.52,13.04,5.69
voice_01_clone_029,100,1,clone,29,2788.61678,0.0844283,100.61,15.87,7.74
voice_01_clone_030,85,1,clone,30,2560,0.063970875,105.47,13.83,7.02
voice_01_clone_031,75,1,clone,31,2656.00907,0.072506177,98.17,12.81,6.86
voice_01_clone_032,95,1,clone,32,3087.981859,0.067635434,105.14,12.16,5.37
voice_01_clone_033,75,1,clone,33,3007.981859,0.068289232,102.23,10.04,7.86
voice_01_clone_034,80,1,clone,34,2736.00907,0.054865628,113.37,12.14,6.93
voice_01_clone_035,48,1,clone,35,2663.854875,0.071046985,106.24,15.67,9.23
voice_01_clone_036,80,1,clone,36,2678.503401,0.054491744,111.33,16.6,8.26
voice_01_clone_037,75,1,clone,37,2207.981859,0.070070573,110.51,11.48,9.59
voice_01_clone_038,85,1,clone,38,2432.018141,0.075799062,106.17,11.74,6.66
voice_01_clone_039,93,1,clone,39,2752.018141,0.078084061,111.55,16.41,9.41
voice_01_clone_040,80,1,clone,40,3200,0.057287124,107.43,15.77,8.65
voice_01_clone_041,40,1,clone,41,3090.566893,0.072466202,102.42,10.18,9.86
voice_01_clone_042,70,1,clone,42,2880,0.085946618,100.9,11.23,10.6
voice_01_clone_043,70,1,clone,43,3232.018141,0.080045504,113.57,10.33,10.67
voice_01_clone_044,30,1,clone,44,2447.981859,0.071244595,107.4,18.62,8.93
voice_01_clone_045,35,1,clone,45,2672.018141,0.070109696,111.49,12.65,9.8
voice_01_clone_046,80,1,clone,46,2432.018141,0.072768592,115.72,13.6,10.39
voice_01_clone_047,80,1,clone,47,2423.129252,0.078834395,113.54,12.95,11.37
voice_01_clone_048,75,1,clone,48,3113.741497,0.071873439,111.59,13.19,10.07
voice_01_clone_049,80,1,clone,49,2783.99093,0.071169918,115.21,13.36,10.1
voice_01_clone_050,75,1,clone,50,2231.020408,0.07641016,105.75,14.72,5.34
voice_01_clone_051,52,1,clone,51,2346.848073,0.067280158,104.69,9.78,7.4
voice_01_clone_052,75,1,clone,52,3552.018141,0.084449471,106.06,12.01,8.09
voice_01_clone_053,75,1,clone,53,2624.399093,0.075422694,108.07,13.25,6.48
voice_01_clone_054,55,1,clone,54,3237.777778,0.073361739,106.29,14.5,6.75
voice_01_clone_055,65,1,clone,55,2640,0.075739906,101.29,8.85,8.72
voice_01_clone_056,93,1,clone,56,2287.981859,0.079785854,105.64,11.86,9.61
voice_01_clone_057,60,1,clone,57,3056.00907,0.074056833,99.6,9.59,9.13
voice_01_clone_058,90,1,clone,58,3103.99093,0.070246738,100.64,11.86,10.82
voice_01_clone_059,65,1,clone,59,2400,0.068339927,100.04,12.89,7.8
voice_01_clone_060,70,1,clone,60,2703.99093,0.071066075,102.68,11.76,10.83
voice_01_clone_061,56,1,clone,61,2912.018141,0.074779799,100.12,9.91,9.52
voice_01_clone_062,65,1,clone,62,3423.99093,0.066614185,98.48,8.49,6.8
voice_01_clone_063,75,1,clone,63,3280,0.087466576,98.21,8.12,8.4
voice_01_clone_064,55,1,clone,64,2992.018141,0.067463041,102.92,14.57,8.22
voice_01_clone_065,100,1,clone,65,3280,0.090153029,103.87,10.36,10.6
voice_01_clone_066,80,1,clone,66,2352.018141,0.094451514,101.8,9.68,8.21
voice_01_clone_067,70,1,clone,67,2607.981859,0.10021457,106.42,17.6,9.71
voice_01_clone_068,65,1,clone,68,2142.902494,0.070817174,98.31,11.28,7.35
voice_01_clone_069,40,1,clone,69,2708.208617,0.059720248,103.51,12.54,7.55
voice_01_clone_070,75,1,clone,70,2752.018141,0.096477964,101.59,11.98,8.28
voice_01_clone_071,52,1,clone,71,2486.122449,0.090296199,101.11,10.44,6.92
voice_01_clone_072,55,1,clone,72,2538.412698,0.071170875,107.18,8.22,9.18
voice_01_clone_073,60,1,clone,73,2496.00907,0.074466244,101.45,10.25,7.04
voice_01_clone_074,75,1,clone,74,2314.240363,0.084611557,107.56,9.99,6.13
voice_01_clone_075,70,1,clone,75,2666.485261,0.076169408,104.75,10.59,7.64
voice_01_clone_076,60,1,clone,76,2432.018141,0.087909193,100.11,9.37,10.21
voice_01_clone_077,55,1,clone,77,2512.018141,0.076163702,112.19,11.54,11.13
voice_01_clone_078,90,1,clone,78,2115.873016,0.122476557,112.28,13.5,9.47
voice_01_clone_079,75,1,clone,79,2374.14966,0.064146008,103.23,12.81,11.58
voice_01_clone_080,85,1,clone,80,2987.709751,0.08005033,101.53,11.54,9.26
voice_01_human_001,56,1,human,1,3356.689342,0.088448108,102.17,13.19,7.46
voice_01_human_002,75,1,human,2,2521.678005,0.089142299,109.73,23.71,7.73
voice_01_human_003,65,1,human,3,2287.981859,0.105576921,111.65,22.41,11.12
voice_01_human_004,60,1,human,4,3140.136054,0.088749002,103.09,18.46,11.35
voice_01_human_005,75,1,human,5,2767.981859,0.077463898,114.16,26.47,10.42
voice_01_human_006,67,1,human,6,2256.00907,0.082675561,102.78,16.52,9.26
voice_01_human_007,55,1,human,7,2367.981859,0.080306463,100.8,16.78,8.02
voice_01_human_008,70,1,human,8,2880,0.089908946,105.58,16.85,8.79
voice_01_human_009,85,1,human,9,2960,0.096966417,111.36,20.92,10.77
voice_01_human_010,25,1,human,10,3136.00907,0.088296663,115.11,21.28,13
voice_01_human_011,76,1,human,11,2463.99093,0.081220838,105.75,18.84,10.02
voice_01_human_012,45,1,human,12,2752.018141,0.074421444,103.23,17.44,7.14
voice_01_human_013,65,1,human,13,2912.018141,0.064703212,110.01,20.87,8.74
voice_01_human_014,55,1,human,14,2590.839002,0.089435991,104.74,16.15,8.8
voice_01_human_015,30,1,human,15,3200,0.074585333,105.44,18.83,12.18
voice_01_human_016,87,1,human,16,3056.00907,0.118760682,106.63,16.85,10.44
voice_01_human_017,50,1,human,17,2240,0.082304638,104.53,17.63,10.21
voice_01_human_018,70,1,human,18,3247.981859,0.101897407,111.86,18.34,12.83
voice_01_human_019,80,1,human,19,2752.018141,0.105050939,103.49,15.35,8.73
voice_01_human_020,45,1,human,20,2800,0.075430468,97.61,14.21,7.87
voice_01_human_021,56,1,human,21,3072.018141,0.084338207,106.71,19.03,12.18
voice_01_human_022,65,1,human,22,3487.981859,0.081411617,105.17,16.26,10.97
voice_01_human_023,90,1,human,23,2352.018141,0.105268907,106.54,24.26,6.78
voice_01_human_024,75,1,human,24,2863.99093,0.082468208,108.57,23.51,11.55
voice_01_human_025,85,1,human,25,2816.00907,0.080954649,103.51,17.86,7.3
voice_01_human_026,33,1,human,26,2783.99093,0.077035896,99.31,16.23,8.31
voice_01_human_027,75,1,human,27,3263.99093,0.107473505,103.55,21.83,11.65
voice_01_human_028,85,1,human,28,2736.00907,0.069307718,104.01,17.34,11.3
voice_01_human_029,95,1,human,29,3583.99093,0.120757184,101.83,18.98,12.28
voice_01_human_030,65,1,human,30,2736.00907,0.081924696,104.03,14.04,11.33
voice_01_human_031,72,1,human,31,2527.981859,0.087742686,98.76,13.9,8.3
voice_01_human_032,65,1,human,32,2656.00907,0.07468843,98.07,11.26,6.5
voice_01_human_033,60,1,human,33,2607.981859,0.077357904,111.62,19.48,8.44
voice_01_human_034,65,1,human,34,2576.00907,0.063152129,102.23,19.77,6.47
voice_01_human_035,70,1,human,35,2672.018141,0.091258907,100.74,13.67,9.05
voice_01_human_036,47,1,human,36,2527.981859,0.081303468,106.74,23.75,7.59
voice_01_human_037,55,1,human,37,2032.018141,0.073941629,109.9,11.7,11.01
voice_01_human_038,90,1,human,38,2512.018141,0.079836378,103.35,13.53,7.28
voice_01_human_039,80,1,human,39,2927.981859,0.101196116,108.49,20.4,12.38
voice_01_human_040,40,1,human,40,3200,0.071509553,102.21,14.92,11.33
voice_01_human_041,35,1,human,41,2863.99093,0.085831431,105.66,17.13,9.78
voice_01_human_042,75,1,human,42,3312.018141,0.115887749,106.6,20.36,13.75
voice_01_human_043,45,1,human,43,3647.981859,0.100027185,105.97,19.82,12.03
voice_01_human_044,85,1,human,44,2896.00907,0.072565786,101.46,16.82,11.91
voice_01_human_045,48,1,human,45,2640,0.100285868,102.06,13.55,8.33
voice_01_human_046,75,1,human,46,2287.981859,0.098000187,103.67,17.76,8.03
voice_01_human_047,65,1,human,47,2480,0.087160344,104.52,17.21,8.71
voice_01_human_048,60,1,human,48,3552.018141,0.088552873,104.96,16.03,11.36
voice_01_human_049,80,1,human,49,3434.693878,0.081028823,106.5,21.7,11.63
voice_01_human_050,65,1,human,50,2608.707483,0.073897345,102.99,16.91,9.27
voice_01_human_051,65,1,human,51,2543.99093,0.064675351,101.13,12.95,7.56
voice_01_human_052,90,1,human,52,3423.99093,0.107707169,109.91,19.69,8.66
voice_01_human_053,80,1,human,53,3206.077098,0.072403405,111.13,19.91,10.1
voice_01_human_054,75,1,human,54,3392.018141,0.087719307,100.53,15.26,8.9
voice_01_human_055,56,1,human,55,2496.00907,0.0858778,105.97,16.01,9.04
voice_01_human_056,70,1,human,56,2336.00907,0.089193275,109.17,15.53,9.39
voice_01_human_057,90,1,human,57,3840,0.083441242,102.35,17.34,11.9
voice_01_human_058,80,1,human,58,2990.294785,0.080023413,108.7,16.35,9.15
voice_01_human_059,60,1,human,59,2614.195011,0.068620567,113.57,24.54,10.36
voice_01_human_060,60,1,human,60,3069.750567,0.083414069,107.59,18.42,9.06
voice_01_human_061,80,1,human,61,2767.981859,0.113316123,104.64,15.12,9.49
voice_01_human_062,70,1,human,62,3245.804989,0.084463056,102.29,15.59,8.26
voice_01_human_063,80,1,human,63,2943.99093,0.098328022,105.3,16.73,8.79
voice_01_human_064,65,1,human,64,2816.00907,0.065834009,104.04,24.54,9.12
voice_01_human_065,68,1,human,65,2776.553288,0.119641489,108,21.85,9.64
voice_01_human_066,75,1,human,66,2336.00907,0.115060226,103.68,20.96,8.11
voice_01_human_067,80,1,human,67,3407.981859,0.111547863,103.68,18.29,12.75
voice_01_human_068,55,1,human,68,2758.004535,0.083108658,108.45,21.97,9.04
voice_01_human_069,67,1,human,69,3215.238095,0.064578897,102.06,16.99,9.66
voice_01_human_070,45,1,human,70,3294.421769,0.09245916,106.06,19.06,8.51
voice_01_human_071,55,1,human,71,2612.063492,0.082676622,100.86,20.82,8.68
voice_01_human_072,55,1,human,72,2939.591837,0.081971305,103.87,17.65,10.2
voice_01_human_073,60,1,human,73,2336.00907,0.087114596,100.26,15.5,7.34
voice_01_human_074,75,1,human,74,2240,0.080105441,103.8,17.09,8.13
voice_01_human_075,80,1,human,75,2880,0.07704444,102.77,16.9,8.93
voice_01_human_076,55,1,human,76,2672.018141,0.078932738,101.36,14.22,11.72
voice_01_human_077,65,1,human,77,2765.668934,0.075946936,114.22,17.54,11.76
voice_01_human_078,75,1,human,78,2259.909297,0.118787735,104.3,15.42,8.23
voice_01_human_079,67,1,human,79,2352.018141,0.071434933,100.03,13.09,11.35
voice_01_human_080,70,1,human,80,3232.018141,0.09486426,103.24,18.12,10.47
voice_03_clone_001,100,3,clone,1,2248.163265,0.08267149,191.88,12.39,5.34
voice_03_clone_002,75,3,clone,2,1903.99093,0.07772754,195,18.41,8.67
voice_03_clone_003,75,3,clone,3,1806.621315,0.080393395,197.18,12.3,9.19
voice_03_clone_004,75,3,clone,4,2160,0.092924597,194.13,17.52,6.04
voice_03_clone_005,90,3,clone,5,1750.340136,0.066511362,201.07,20.88,7.97
voice_03_clone_006,72,3,clone,6,1792.063492,0.070156315,198.21,13.46,5.67
voice_03_clone_007,60,3,clone,7,2016.00907,0.068577399,193.72,12.07,7.86
voice_03_clone_008,75,3,clone,8,2176.00907,0.082293404,195.53,13.67,6.09
voice_03_clone_009,80,3,clone,9,2080,0.078064835,199.61,14.93,8.12
voice_03_clone_010,53,3,clone,10,2189.160998,0.084415778,197.99,13.29,8.44
voice_03_clone_011,70,3,clone,11,2016.00907,0.054326143,203.02,17.09,7.13
voice_03_clone_012,30,3,clone,12,2463.628118,0.066895845,203.48,16.93,7.96
voice_03_clone_013,90,3,clone,13,2352.018141,0.064385351,197.42,11.99,8
voice_03_clone_014,90,3,clone,14,2000,0.07397598,194.53,12.41,7.45
voice_03_clone_015,75,3,clone,15,2367.981859,0.064014121,204.04,13.29,8.89
voice_03_clone_016,56,3,clone,16,2207.981859,0.095348391,197.61,17.2,8.19
voice_03_clone_017,50,3,clone,17,2001.133787,0.057812574,209.23,17.45,10.6
voice_03_clone_018,60,3,clone,18,2176.00907,0.092680558,204.44,19.28,8.87
voice_03_clone_019,60,3,clone,19,2143.99093,0.08557989,201.04,16.79,8.67
voice_03_clone_020,73,3,clone,20,2165.306122,0.067402105,196.6,15.86,7.63
voice_03_clone_021,45,3,clone,21,2207.981859,0.063650285,201.89,14.92,8.51
voice_03_clone_022,45,3,clone,22,2263.99093,0.071445613,205.79,15.24,6
voice_03_clone_023,80,3,clone,23,2016.00907,0.077023656,202.22,22.46,6.93
voice_03_clone_024,65,3,clone,24,1696.00907,0.073783816,201.21,15.92,6.98
voice_03_clone_025,65,3,clone,25,2303.99093,0.061554608,195.9,12.15,7.87
voice_03_clone_026,64,3,clone,26,2176.00907,0.079516148,196.03,13.33,7.01
voice_03_clone_027,100,3,clone,27,2207.981859,0.096340597,201.81,14.6,7.95
voice_03_clone_028,75,3,clone,28,1775.873016,0.072551752,194.84,12.06,5.91
voice_03_clone_029,45,3,clone,29,2432.018141,0.082544716,192.59,20.65,6.44
voice_03_clone_030,93,3,clone,30,2047.981859,0.061600397,199.39,11.08,8.09
voice_03_clone_031,55,3,clone,31,2140.907029,0.070000422,194.74,12.72,7.61
voice_03_clone_032,85,3,clone,32,2143.99093,0.069354864,199.85,10.48,5.48
voice_03_clone_033,45,3,clone,33,2047.981859,0.078247222,197.9,12.11,7.37
voice_03_clone_034,60,3,clone,34,2256.00907,0.050105221,203.8,10.92,7.37
voice_03_clone_035,70,3,clone,35,2050.15873,0.071002886,191.63,9.39,9.31
voice_03_clone_036,64,3,clone,36,1863.673469,0.059022375,194.07,10.73,8.41
voice_03_clone_037,50,3,clone,37,1842.267574,0.054402491,198.85,10.93,9.7
voice_03_clone_038,45,3,clone,38,2000,0.077034678,194.16,10.23,6.74
voice_03_clone_039,65,3,clone,39,2096.00907,0.084550528,190.75,11.04,8.38
voice_03_clone_040,100,3,clone,40,2407.301587,0.061681381,196.9,13.86,6.44
voice_03_clone_041,35,3,clone,41,2233.378685,0.081779281,191.3,18.53,7.97
voice_03_clone_042,92,3,clone,42,2387.437642,0.082050912,192.05,14.47,9.15
voice_03_clone_043,50,3,clone,43,2656.00907,0.085608856,201.06,18.15,9.15
voice_03_clone_044,30,3,clone,44,2080,0.066442202,198.66,17.26,7.12
voice_03_clone_045,45,3,clone,45,2223.99093,0.073665685,196.02,13.41,8.44
voice_03_clone_046,85,3,clone,46,1804.444444,0.06858249,198.61,12.54,7.63
voice_03_clone_047,80,3,clone,47,1712.018141,0.085259563,204.49,15.79,7.57
voice_03_clone_048,45,3,clone,48,2378.095238,0.101818052,203.27,11.92,9.86
voice_03_clone_049,70,3,clone,49,2522.222222,0.083397038,203.49,15.66,11.04
voice_03_clone_050,65,3,clone,50,2051.428571,0.063481915,200.99,13.86,10.06
voice_03_clone_051,50,3,clone,51,2176.00907,0.063618207,199.89,16.96,8.86
voice_03_clone_052,92,3,clone,52,2857.687075,0.094737092,200.08,15.47,8.19
voice_03_clone_053,60,3,clone,53,2367.981859,0.071709818,202.6,14.86,8.3
voice_03_clone_054,70,3,clone,54,2588.526077,0.067260108,198.07,12.91,6.95
voice_03_clone_055,35,3,clone,55,2249.750567,0.081724856,193.61,9.93,9.05
voice_03_clone_056,85,3,clone,56,2025.442177,0.077706931,196.06,11.14,9.66
voice_03_clone_057,47,3,clone,57,2512.018141,0.075625019,201.19,16.52,9.48
voice_03_clone_058,65,3,clone,58,2728.072562,0.068291518,210.7,11.23,10.03
